date,home_team,away_team,winner,first_shooter
7/30/2005,Egypt,United Arab Emirates,Egypt,
8/13/2005,South Africa,Zambia,Zambia,
8/15/2005,Ukraine,Israel,Israel,
11/16/2005,Australia,Uruguay,Australia,Australia
12/10/2005,Syria,Iraq,Iraq,
12/10/2005,Zanzibar,Uganda,Zanzibar,
2/4/2006,Nigeria,Tunisia,Nigeria,
2/4/2006,Cameroon,Ivory Coast,Ivory Coast,
2/10/2006,Egypt,Ivory Coast,Egypt,Egypt
2/28/2006,Finland,Kazakhstan,Kazakhstan,
3/1/2006,Finland,Belarus,Finland,
4/29/2006,Lesotho,Mozambique,Lesotho,
4/30/2006,Mauritius,Mozambique,Mozambique,
5/21/2006,Botswana,South Africa,Botswana,
6/3/2006,Northern Cyprus,Zanzibar,Northern Cyprus,
6/26/2006,Switzerland,Ukraine,Ukraine,Ukraine
6/30/2006,Germany,Argentina,Germany,Germany
7/1/2006,England,Portugal,Portugal,Portugal
7/9/2006,Italy,France,Italy,Italy
7/22/2006,Namibia,Seychelles,Seychelles,
4/29/2007,Mozambique,Zimbabwe,Mozambique,
5/6/2007,Guernsey,Jersey,Jersey,
5/26/2007,Malawi,South Africa,South Africa,
5/26/2007,Eswatini,Mauritius,Mauritius,
7/10/2007,Uruguay,Brazil,Brazil,Brazil
7/21/2007,Japan,Australia,Japan,Australia
7/22/2007,Iran,South Korea,South Korea,South Korea
7/25/2007,Iraq,South Korea,Iraq,South Korea
7/28/2007,South Korea,Japan,South Korea,South Korea
7/29/2007,Botswana,Angola,Botswana,
10/24/2007,South Africa,Zambia,South Africa,
5/5/2008,Jersey,Guernsey,Jersey,
6/20/2008,Croatia,Turkey,Turkey,Croatia
6/22/2008,Spain,Italy,Spain,Spain
7/27/2008,Zambia,Zimbabwe,Zambia,
6/26/2009,Provence,Sápmi,Sápmi,
7/23/2009,Costa Rica,Mexico,Mexico,Mexico
10/28/2009,Zimbabwe,South Africa,Zimbabwe,
1/25/2010,Zambia,Nigeria,Nigeria,
6/29/2010,Paraguay,Japan,Paraguay,Paraguay
7/2/2010,Uruguay,Ghana,Uruguay,Uruguay
1/25/2011,Japan,South Korea,Japan,Japan
2/8/2011,Romania,Ukraine,Ukraine,
2/9/2011,Sweden,Ukraine,Ukraine,
5/8/2011,Guernsey,Jersey,Jersey,
6/8/2011,Uruguay,Netherlands,Uruguay,Netherlands
6/18/2011,Costa Rica,Honduras,Honduras,Costa Rica
6/19/2011,Panama,El Salvador,Panama,Panama
6/29/2011,Saare County,Åland Islands,Åland Islands,
6/30/2011,Isle of Man,Menorca,Menorca,
7/12/2011,Saint Lucia,Aruba,Saint Lucia,
7/16/2011,Argentina,Uruguay,Uruguay,Argentina
7/17/2011,Brazil,Paraguay,Paraguay,Brazil
7/20/2011,Paraguay,Venezuela,Paraguay,Paraguay
2/5/2012,Gabon,Mali,Mali,Gabon
2/12/2012,Zambia,Ivory Coast,Zambia,Ivory Coast
6/3/2012,Finland,Latvia,Latvia,Finland
6/17/2012,Mozambique,Tanzania,Mozambique,
6/24/2012,England,Italy,Italy,Italy
6/27/2012,Portugal,Spain,Spain,Spain
8/25/2012,Alderney,Sealand,Sealand,
9/2/2012,India,Cameroon,India,
10/13/2012,Uganda,Zambia,Zambia,
11/21/2012,Argentina,Brazil,Brazil,Argentina
1/23/2013,Sweden,North Korea,Sweden,
2/2/2013,South Africa,Mali,Mali,South Africa
2/6/2013,Burkina Faso,Ghana,Burkina Faso,Ghana
6/27/2013,Spain,Italy,Spain,Italy
6/30/2013,Uruguay,Italy,Italy,Uruguay
7/13/2013,Zimbabwe,Malawi,Zimbabwe,
7/14/2013,Angola,Lesotho,Lesotho,
7/17/2013,Zambia,South Africa,Zambia,
5/5/2014,Sealand,Chagos Islands,Chagos Islands,
5/29/2014,Latvia,Estonia,Latvia,Estonia
6/4/2014,Abkhazia,South Ossetia,South Ossetia,
6/4/2014,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,
6/5/2014,Padania,Abkhazia,Padania,
6/5/2014,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,
6/7/2014,Padania,Iraqi Kurdistan,Padania,
6/8/2014,County of Nice,Ellan Vannin,County of Nice,
6/28/2014,Brazil,Chile,Brazil,Brazil
6/29/2014,Costa Rica,Greece,Costa Rica,Costa Rica
7/5/2014,Netherlands,Costa Rica,Netherlands,Costa Rica
7/9/2014,Netherlands,Argentina,Argentina,Netherlands
1/23/2015,Iran,Iraq,Iraq,Iran
1/23/2015,Japan,United Arab Emirates,United Arab Emirates,Japan
1/30/2015,Curaçao,Aruba,Aruba,
2/7/2015,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea
2/8/2015,Ivory Coast,Ghana,Ivory Coast,Ghana
5/24/2015,Zambia,Namibia,Namibia,
5/24/2015,South Africa,Botswana,Botswana,
5/25/2015,Mozambique,Malawi,Mozambique,
5/27/2015,South Africa,Malawi,Malawi,
6/21/2015,Ellan Vannin,Felvidék,Ellan Vannin,
6/26/2015,Argentina,Colombia,Argentina,Colombia
6/27/2015,Brazil,Paraguay,Paraguay,Brazil
7/2/2015,Gibraltar,Åland Islands,Åland Islands,
7/4/2015,Chile,Argentina,Chile,Chile
7/19/2015,Trinidad and Tobago,Panama,Panama,Panama
7/25/2015,United States,Panama,Panama,United States
10/13/2015,El Salvador,Guatemala,Guatemala,
5/27/2016,Corsica,Basque Country,Basque Country,
6/1/2016,United Koreans in Japan,Northern Cyprus,Northern Cyprus,
6/2/2016,Iraqi Kurdistan,Padania,Padania,
6/3/2016,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina,
6/3/2016,Thailand,Syria,Thailand,
6/3/2016,Vietnam,Hong Kong,Vietnam,
6/3/2016,Iraqi Kurdistan,Western Armenia,Western Armenia,
6/3/2016,Chagos Islands,Raetia,Raetia,
6/4/2016,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan
6/5/2016,Abkhazia,Panjab,Abkhazia,
6/11/2016,Papua New Guinea,New Zealand,New Zealand,New Zealand
6/17/2016,Peru,Colombia,Colombia,Colombia
6/18/2016,Namibia,Botswana,Botswana,
6/18/2016,South Africa,Lesotho,South Africa,
6/19/2016,Zambia,Eswatini,Eswatini,
6/22/2016,Botswana,DR Congo,Botswana,
6/25/2016,Switzerland,Poland,Poland,Switzerland
6/26/2016,Argentina,Chile,Chile,Chile
6/30/2016,Poland,Portugal,Portugal,Portugal
7/2/2016,Germany,Italy,Germany,Italy
8/1/2016,Felvidék,Kárpátalja,Felvidék,
1/11/2017,Chile,Croatia,Chile,
1/14/2017,China PR,Croatia,China PR,
1/28/2017,Senegal,Cameroon,Cameroon,Senegal
2/1/2017,Burkina Faso,Egypt,Egypt,Egypt
6/9/2017,Kárpátalja,Ellan Vannin,Kárpátalja,
6/9/2017,Padania,Abkhazia,Padania,
6/10/2017,Northern Cyprus,Padania,Padania,
6/28/2017,Portugal,Chile,Chile,Chile
6/29/2017,Hitra,Western Isles,Western Isles,
6/29/2017,Greenland,Menorca,Greenland,
7/1/2017,Namibia,Lesotho,Lesotho,
7/7/2017,Tanzania,Lesotho,Tanzania,
7/16/2017,Thailand,Belarus,Thailand,
3/21/2018,South Africa,Angola,South Africa,
3/21/2018,Zambia,Zimbabwe,Zambia,
3/22/2018,Thailand,Gabon,Thailand,
3/24/2018,Angola,Zimbabwe,Angola,
6/2/2018,Zambia,Namibia,Zambia,
6/3/2018,Andorra,Cape Verde,Cape Verde,
6/3/2018,South Africa,Madagascar,Madagascar,
6/3/2018,Zimbabwe,Botswana,Zimbabwe,
6/5/2018,Matabeleland,Kabylia,Kabylia,
6/6/2018,Lesotho,Zimbabwe,Zimbabwe,
6/9/2018,Tibet,United Koreans in Japan,United Koreans in Japan,
6/9/2018,Panjab,Cascadia,Panjab,
6/9/2018,Padania,Székely Land,Padania,
6/9/2018,Northern Cyprus,Kárpátalja,Kárpátalja,
7/1/2018,Russia,Spain,Russia,Spain
7/1/2018,Croatia,Denmark,Croatia,Denmark
7/3/2018,Colombia,England,England,Colombia
7/7/2018,Russia,Croatia,Croatia,Russia
1/20/2019,Jordan,Vietnam,Vietnam,Vietnam
1/21/2019,Australia,Uzbekistan,Australia,Australia
3/23/2019,Oman,Singapore,Oman,
5/11/2019,Guernsey,Jersey,Jersey,
6/1/2019,Lesotho,Uganda,Lesotho,
6/2/2019,South Africa,Botswana,Botswana,
6/2/2019,Zambia,Malawi,Zambia,
6/4/2019,South Africa,Uganda,South Africa,
6/5/2019,Zimbabwe,Zambia,Zambia,
6/6/2019,Abkhazia,Western Armenia,Western Armenia,
6/6/2019,South Ossetia,Chameria,South Ossetia,
6/7/2019,Lesotho,Zimbabwe,Zimbabwe,
6/7/2019,South Africa,Malawi,South Africa,
6/8/2019,Abkhazia,Chameria,Abkhazia,
6/9/2019,Switzerland,England,England,England
6/27/2019,Brazil,Paraguay,Brazil,Paraguay
6/28/2019,Colombia,Chile,Chile,Colombia
6/29/2019,Mexico,Costa Rica,Mexico,Mexico
6/29/2019,Uruguay,Peru,Peru,Uruguay
7/5/2019,Morocco,Benin,Benin,Benin
7/7/2019,Madagascar,DR Congo,Madagascar,Madagascar
7/8/2019,Ghana,Tunisia,Tunisia,Ghana
7/11/2019,Ivory Coast,Algeria,Algeria,Algeria
9/8/2019,Tanzania,Burundi,Tanzania,Tanzania
10/13/2019,Chad,Liberia,Chad,
